form	parsing	GrammaticalInfo
am<span class="suffix">ā</span>	Singular Active Imperative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābam</span>	1sg Imperfect Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābāminī</span>	2pl Imperfect Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābāmur</span>	1pl Imperfect Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābāmus</span>	1pl Imperfect Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābant</span>	3pl Imperfect Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābantur</span>	3pl Imperfect Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābar</span>	1sg Imperfect Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābāris</span>	2sg Imperfect Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābās</span>	2sg Imperfect Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābat</span>	3sg Imperfect Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābātis</span>	2pl Imperfect Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābātur</span>	3sg Imperfect Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">āberis</span>	2sg Future Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābiminī</span>	2pl Future Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābimur</span>	1pl Future Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābimus</span>	1pl Future Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābis</span>	2sg Future Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābit</span>	3sg Future Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābitis</span>	2pl Future Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābitur</span>	3sg Future Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābō</span>	1sg Future Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābor</span>	1sg Future Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābunt</span>	3pl Future Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ābuntur</span>	3pl Future Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">āminī</span>	2pl Present Passive Indicative<br/>Plural Passive Imperative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">āmur</span>	1pl Present Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">āmus</span>	1pl Present Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">andī</span>	Gerund, Genitive case	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">andō</span>	Gerund, Dative case<br/>Gerund, Ablative case	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">andum</span>	Gerund, Accusative case	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">andus</span>	Future Passive Participle	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">āns</span>	Present Active Participle	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ant</span>	3pl Present Active Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">antur</span>	3pl Present Passive Indicative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">āre</span>	Present Active Infinitive<br/>Singular Passive Imperative	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ārem</span>	1sg Imperfect Active Subjunctive	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ārēminī</span>	2pl Imperfect Passive Subjunctive	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ārēmur</span>	1pl Imperfect Passive Subjunctive	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ārēmus</span>	1pl Imperfect Active Subjunctive	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ārent</span>	3pl Imperfect Active Subjunctive	1st conjugation, am<span class="suffix">ō</span>
am<span class="suffix">ārentur</span>	3pl Imperfect Passive Subjunctive	1st conjugation, am<span class="suffix">ō</span>
